Fedu,Mjob,reason,studytime,failures,goout,absences,G1,G2,G3
4,at_home,course,2,0,4,4,0,11,11
1,at_home,course,2,0,3,2,9,11,11
1,at_home,other,2,0,2,6,12,13,12
2,health,home,3,0,2,0,14,14,14
3,other,home,2,0,2,0,11,13,13
3,services,reputation,2,0,2,6,12,12,13
2,other,home,2,0,4,0,13,12,13
4,other,home,2,0,4,2,10,13,13
2,services,home,2,0,2,0,15,16,17
4,other,home,2,0,1,0,12,12,13
4,teacher,reputation,2,0,3,2,14,14,14
1,services,reputation,3,0,2,0,10,12,13
4,health,course,1,0,3,0,12,13,12
3,teacher,course,2,0,3,0,12,12,13
2,other,home,3,0,2,0,14,14,15
4,health,home,1,0,4,6,17,17,17
4,services,reputation,3,0,3,10,13,13,14
3,other,reputation,2,0,2,2,13,14,14
2,services,course,1,3,5,2,8,8,7
3,health,home,1,0,3,6,12,12,12
3,teacher,reputation,2,0,1,0,12,13,14
4,health,other,1,0,2,0,11,12,12
2,teacher,course,2,0,1,0,12,13,14
2,other,reputation,2,0,4,2,10,10,10
4,services,course,3,0,2,2,10,11,10
2,services,home,1,0,2,6,10,11,12
2,other,home,1,0,2,8,11,12,12
2,health,other,1,0,4,0,11,11,11
4,services,home,2,0,3,2,12,12,13
4,teacher,home,2,0,5,4,12,11,12
4,health,home,2,0,2,0,10,11,11
4,services,reputation,2,0,1,2,15,15,15
3,teacher,course,2,0,2,0,13,14,15
3,other,course,2,0,2,0,13,12,12
2,other,home,1,0,3,4,12,12,12
3,other,other,1,0,1,4,11,11,11
3,teacher,home,3,0,3,0,14,14,14
4,other,reputation,3,0,3,4,13,13,13
4,services,course,3,0,2,2,11,12,12
2,at_home,reputation,1,0,1,8,14,13,12
2,other,home,2,0,3,16,11,11,10
4,teacher,home,1,0,3,8,10,11,11
4,services,course,2,0,3,0,14,15,15
2,services,course,1,0,1,0,9,10,10
2,other,course,2,1,3,14,10,11,11
3,other,course,2,0,2,4,10,11,11
3,other,home,2,0,5,6,13,12,13
3,health,reputation,4,0,2,2,17,17,17
2,teacher,home,2,0,3,4,11,12,13
4,services,other,2,0,4,2,13,12,12
2,services,course,2,0,3,0,14,13,13
2,health,other,2,0,3,0,16,14,16
2,health,other,1,0,5,4,10,9,9
4,services,course,1,0,4,0,13,12,12
3,other,other,1,0,4,0,13,12,13
1,other,other,2,0,4,2,12,13,12
3,services,reputation,2,0,2,0,15,14,15
4,teacher,reputation,2,0,2,8,15,15,16
2,other,home,2,0,2,0,14,13,14
2,services,course,2,0,3,2,16,15,16
4,health,other,2,0,4,0,17,16,16
1,services,course,1,0,5,0,10,10,16
2,other,reputation,2,0,3,0,13,13,10
3,teacher,home,3,0,4,0,14,13,13
3,services,reputation,2,0,4,0,13,12,12
3,teacher,course,2,0,3,2,16,15,16
4,other,reputation,4,0,3,0,11,12,12
1,services,course,4,0,3,0,10,9,10
2,health,reputation,2,0,3,0,11,10,11
1,other,reputation,4,0,2,6,15,15,15
1,other,reputation,4,0,2,2,13,11,11
2,other,course,4,0,3,0,11,9,10
1,other,reputation,2,0,4,2,13,11,11
1,other,reputation,1,0,2,0,13,13,14
3,other,home,2,0,3,4,11,11,11
3,teacher,home,2,0,3,0,11,11,11
0,teacher,course,4,0,3,0,12,11,11
2,other,reputation,4,0,3,1,13,13,13
1,other,home,1,3,1,0,9,9,10
4,at_home,course,2,0,3,14,12,11,11
3,other,course,1,0,2,0,11,11,12
3,other,home,3,0,2,2,10,9,9
2,services,reputation,2,0,4,4,12,11,11
2,services,home,2,0,3,2,13,12,13
1,other,home,2,0,2,2,13,12,12
4,services,reputation,2,0,4,4,12,11,12
2,at_home,course,2,0,4,6,13,11,11
2,other,reputation,3,0,3,4,15,15,15
2,services,reputation,2,0,2,6,12,10,11
4,teacher,reputation,2,0,3,6,9,9,10
3,other,home,3,0,3,2,9,11,11
